"filename", "language", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "JSON", "Django HTML", "Python", "comment", "blank", "total"
"d:\project\README.md", "Markdown", 214, 0, 0, 0, 0, 0, 0, 0, 0, 66, 280
"d:\project\backend\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\backend\asgi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 8, 5, 17
"d:\project\backend\backend\settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 80, 27, 41, 148
"d:\project\backend\backend\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 8, 16, 2, 26
"d:\project\backend\backend\wsgi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 8, 5, 17
"d:\project\backend\contactform\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\contactform\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 5
"d:\project\backend\contactform\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"d:\project\backend\contactform\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 20, 1, 7, 28
"d:\project\backend\contactform\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\contactform\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 10, 1, 3, 14
"d:\project\backend\contactform\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\project\backend\contactform\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\project\backend\contactform\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 3, 16
"d:\project\backend\customauth\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"d:\project\backend\customauth\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 37, 0, 7, 44
"d:\project\backend\customauth\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 4
"d:\project\backend\customauth\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"d:\project\backend\customauth\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 22, 0, 6, 28
"d:\project\backend\customuser\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\customuser\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 24, 0, 7, 31
"d:\project\backend\customuser\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"d:\project\backend\customuser\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 30, 1, 7, 38
"d:\project\backend\customuser\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\customuser\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 42, 1, 11, 54
"d:\project\backend\customuser\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 28, 0, 4, 32
"d:\project\backend\customuser\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\project\backend\customuser\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 29, 0, 6, 35
"d:\project\backend\debug_admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\manage.py", "Python", 0, 0, 0, 0, 0, 0, 0, 15, 3, 5, 23
"d:\project\frontend\README.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13
"d:\project\frontend\eslint.config.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"d:\project\frontend\index.html", "Django HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\project\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3827, 0, 0, 0, 1, 3828
"d:\project\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 37, 0, 0, 0, 1, 38
"d:\project\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 95, 0, 0, 0, 0, 0, 1, 8, 104
"d:\project\frontend\src\api\api.jsx", "JavaScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 0, 11, 48
"d:\project\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\project\frontend\src\components\SmallComponent\BuyNow.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\project\frontend\src\components\SmallComponent\PricingCard.jsx", "JavaScript JSX", 0, 0, 72, 0, 0, 0, 0, 0, 3, 5, 80
"d:\project\frontend\src\components\UI\Footer.jsx", "JavaScript JSX", 0, 0, 189, 0, 0, 0, 0, 0, 10, 11, 210
"d:\project\frontend\src\components\UI\Hero.jsx", "JavaScript JSX", 0, 0, 152, 0, 0, 0, 0, 0, 13, 20, 185
"d:\project\frontend\src\components\UI\Library\Sidebar.jsx", "JavaScript JSX", 0, 0, 375, 0, 0, 0, 0, 0, 11, 26, 412
"d:\project\frontend\src\components\UI\Navbar.jsx", "JavaScript JSX", 0, 0, 187, 0, 0, 0, 0, 0, 8, 14, 209
"d:\project\frontend\src\components\UI\OverView.jsx", "JavaScript JSX", 0, 0, 235, 0, 0, 0, 0, 0, 9, 16, 260
"d:\project\frontend\src\context\Auth.jsx", "JavaScript JSX", 0, 0, 70, 0, 0, 0, 0, 0, 0, 18, 88
"d:\project\frontend\src\hooks\pageTitle.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\project\frontend\src\index.css", "PostCSS", 0, 0, 0, 12, 0, 0, 0, 0, 2, 3, 17
"d:\project\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\project\frontend\src\pages\Contact.jsx", "JavaScript JSX", 0, 0, 174, 0, 0, 0, 0, 0, 2, 11, 187
"d:\project\frontend\src\pages\Export.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"d:\project\frontend\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"d:\project\frontend\src\pages\LMS\Layout.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\project\frontend\src\pages\LMS\Lprofile.jsx", "JavaScript JSX", 0, 0, 405, 0, 0, 0, 0, 0, 22, 34, 461
"d:\project\frontend\src\pages\Layout.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\project\frontend\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 180, 0, 0, 0, 0, 0, 7, 21, 208
"d:\project\frontend\src\pages\Pricing.jsx", "JavaScript JSX", 0, 0, 130, 0, 0, 0, 0, 0, 0, 7, 137
"d:\project\frontend\src\routes\AuthRoute.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\project\frontend\src\routes\ExportRoute.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\project\frontend\src\routes\LibrianRoute.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"d:\project\frontend\src\routes\PublicRoute.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\project\frontend\tailwind.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 1, 8
"d:\project\frontend\vite.config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 221, 46, 2407, 12, 1, 3864, 13, 406, 159, 444, 7573
