"filename", "language", "Docker", "JavaScript", "JavaScript JSX", "YAML", "Ignore", "Markdown", "Python", "pip requirements", "comment", "blank", "total"
"d:\project\README.md", "Markdown", 0, 0, 0, 0, 0, -56, 0, 0, 0, -27, -83
"d:\project\backend\.dockerignore", "Ignore", 0, 0, 0, 0, 18, 0, 0, 0, 8, 8, 34
"d:\project\backend\Dockerfile", "Docker", 10, 0, 0, 0, 0, 0, 0, 0, 1, 10, 21
"d:\project\backend\Notification\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -4
"d:\project\backend\Notification\migrations\0002_initial.py", "Python", 0, 0, 0, 0, 0, 0, 21, 0, 1, 7, 29
"d:\project\backend\Notification\migrations\0002_notification_message.py", "Python", 0, 0, 0, 0, 0, 0, -12, 0, -1, -6, -19
"d:\project\backend\Notification\models.py", "Python", 0, 0, 0, 0, 0, 0, -2, 0, 0, 1, -1
"d:\project\backend\backend\settings.py", "Python", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\project\backend\backend\urls.py", "Python", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\project\backend\customauth\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\project\backend\customuser\models.py", "Python", 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, -2
"d:\project\backend\customuser\views.py", "Python", 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0
"d:\project\backend\lms\admin.py", "Python", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\project\backend\lms\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 42
"d:\project\backend\lms\migrations\0002_alter_class_name_alter_section_name.py", "Python", 0, 0, 0, 0, 0, 0, 17, 0, 1, 6, 24
"d:\project\backend\lms\migrations\0002_remove_class_section.py", "Python", 0, 0, 0, 0, 0, 0, -11, 0, -1, -6, -18
"d:\project\backend\lms\migrations\0003_book.py", "Python", 0, 0, 0, 0, 0, 0, -19, 0, -1, -6, -26
"d:\project\backend\lms\migrations\0004_book_created_at.py", "Python", 0, 0, 0, 0, 0, 0, -12, 0, -1, -6, -19
"d:\project\backend\lms\migrations\0005_alter_book_class_name_alter_book_section_and_more.py", "Python", 0, 0, 0, 0, 0, 0, -25, 0, -1, -6, -32
"d:\project\backend\lms\migrations\0006_bookissue.py", "Python", 0, 0, 0, 0, 0, 0, -19, 0, -1, -6, -26
"d:\project\backend\lms\migrations\0007_bookreturn.py", "Python", 0, 0, 0, 0, 0, 0, -16, 0, -1, -6, -23
"d:\project\backend\lms\migrations\0008_bookissue_has_returned_bookreturn_fine_amount.py", "Python", 0, 0, 0, 0, 0, 0, -17, 0, -1, -6, -24
"d:\project\backend\lms\migrations\0009_bookreturn_condition_bookreturn_note.py", "Python", 0, 0, 0, 0, 0, 0, -17, 0, -1, -6, -24
"d:\project\backend\lms\models.py", "Python", 0, 0, 0, 0, 0, 0, 4, 0, 0, 5, 9
"d:\project\backend\lms\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"d:\project\backend\lms\urls.py", "Python", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\project\backend\lms\views.py", "Python", 0, 0, 0, 0, 0, 0, 68, 0, 0, 9, 77
"d:\project\backend\nurse\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\nurse\admin.py", "Python", 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 5
"d:\project\backend\nurse\apps.py", "Python", 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"d:\project\backend\nurse\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 34, 0, 1, 7, 42
"d:\project\backend\nurse\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\nurse\models.py", "Python", 0, 0, 0, 0, 0, 0, 29, 0, 1, 11, 41
"d:\project\backend\nurse\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 38, 0, 0, 21, 59
"d:\project\backend\nurse\tests.py", "Python", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"d:\project\backend\nurse\urls.py", "Python", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\project\backend\nurse\views.py", "Python", 0, 0, 0, 0, 0, 0, 76, 0, 1, 8, 85
"d:\project\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 19
"d:\project\backend\student\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\project\backend\student\migrations\0002_studentprofile_father_name_and_more.py", "Python", 0, 0, 0, 0, 0, 0, -17, 0, -1, -6, -24
"d:\project\backend\student\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"d:\project\backend\student\urls.py", "Python", 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0
"d:\project\backend\student\views.py", "Python", 0, 0, 0, 0, 0, 0, -30, 0, 0, -2, -32
"d:\project\backend\tms\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\tms\admin.py", "Python", 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 6
"d:\project\backend\tms\apps.py", "Python", 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"d:\project\backend\tms\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 23, 0, 1, 7, 31
"d:\project\backend\tms\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\tms\models.py", "Python", 0, 0, 0, 0, 0, 0, 12, 0, 1, 6, 19
"d:\project\backend\tms\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 50, 0, 0, 9, 59
"d:\project\backend\tms\tests.py", "Python", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"d:\project\backend\tms\urls.py", "Python", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\project\backend\tms\views.py", "Python", 0, 0, 0, 0, 0, 0, 70, 0, 3, 15, 88
"d:\project\docker\docker-compose.yml", "YAML", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"d:\project\frontend\.dockerignore", "Ignore", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\project\frontend\Dockerfile", "Docker", 7, 0, 0, 0, 0, 0, 0, 0, 7, 0, 14
"d:\project\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 94, 0, 0, 0, 0, 0, 0, 4, 98
"d:\project\frontend\src\api\nurse.jsx", "JavaScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 0, 13, 47
"d:\project\frontend\src\api\student.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"d:\project\frontend\src\api\teacher.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 7, 28
"d:\project\frontend\src\components\UI\Library\Sidebar.jsx", "JavaScript JSX", 0, 0, -341, 0, 0, 0, 0, 0, -11, -32, -384
"d:\project\frontend\src\components\UI\Shared\PhoneNunberFinder.jsx", "JavaScript JSX", 0, 0, 308, 0, 0, 0, 0, 0, 16, 27, 351
"d:\project\frontend\src\components\UI\Shared\PrincipleN.jsx", "JavaScript JSX", 0, 0, 480, 0, 0, 0, 0, 0, 21, 29, 530
"d:\project\frontend\src\components\UI\Shared\Profile.jsx", "JavaScript JSX", 0, 0, 609, 0, 0, 0, 0, 0, 29, 35, 673
"d:\project\frontend\src\components\UI\Sidebar\Library.jsx", "JavaScript JSX", 0, 0, 350, 0, 0, 0, 0, 0, 11, 34, 395
"d:\project\frontend\src\components\UI\Sidebar\Nurse.jsx", "JavaScript JSX", 0, 0, 334, 0, 0, 0, 0, 0, 11, 32, 377
"d:\project\frontend\src\components\UI\Sidebar\Teacher.jsx", "JavaScript JSX", 0, 0, 345, 0, 0, 0, 0, 0, 11, 33, 389
