Date : 2025-07-04 09:51:10
Directory : d:\project
Total : 94 files,  5682 codes, 261 comments, 578 blanks, all 6521 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript JSX   |         33 |      5,625 |        239 |        545 |      6,409 |
| Python           |         50 |        296 |          4 |         64 |        364 |
| Ignore           |          2 |         20 |          8 |          9 |         37 |
| pip requirements |          1 |         19 |          0 |          0 |         19 |
| Docker           |          2 |         17 |          8 |         10 |         35 |
| YAML             |          1 |         16 |          0 |          2 |         18 |
| JavaScript       |          2 |         14 |          2 |          1 |         17 |
| Markdown         |          3 |       -325 |          0 |        -53 |       -378 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |         94 |      5,682 |        261 |        578 |      6,521 |
| . (Files)                                                                                   |          4 |       -374 |          0 |        -61 |       -435 |
| backend                                                                                     |         52 |        392 |         13 |         90 |        495 |
| backend (Files)                                                                             |          3 |         47 |          9 |         18 |         74 |
| backend\Notification                                                                        |          4 |          3 |          0 |          2 |          5 |
| backend\Notification (Files)                                                                |          1 |         -2 |          0 |          1 |         -1 |
| backend\Notification\migrations                                                             |          3 |          5 |          0 |          1 |          6 |
| backend\backend                                                                             |          2 |          4 |          0 |          0 |          4 |
| backend\customauth                                                                          |          1 |          1 |          0 |          0 |          1 |
| backend\customuser                                                                          |          2 |         -1 |          0 |         -1 |         -2 |
| backend\lms                                                                                 |         15 |          8 |         -7 |        -24 |        -23 |
| backend\lms (Files)                                                                         |          5 |         85 |          0 |         18 |        103 |
| backend\lms\migrations                                                                      |         10 |        -77 |         -7 |        -42 |       -126 |
| backend\nurse                                                                               |         10 |        194 |          5 |         55 |        254 |
| backend\nurse (Files)                                                                       |          8 |        160 |          4 |         47 |        211 |
| backend\nurse\migrations                                                                    |          2 |         34 |          1 |          8 |         43 |
| backend\student                                                                             |          5 |        -33 |         -1 |         -7 |        -41 |
| backend\student (Files)                                                                     |          3 |        -18 |          0 |         -1 |        -19 |
| backend\student\migrations                                                                  |          2 |        -15 |         -1 |         -6 |        -22 |
| backend\tms                                                                                 |         10 |        169 |          7 |         47 |        223 |
