"filename", "language", "Docker", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "Markdown", "JSON", "YAML", "Django HTML", "Ignore", "Python", "pip requirements", "comment", "blank", "total"
"d:\project\README.md", "Markdown", 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 39, 197
"d:\project\backend\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 8, 8, 34
"d:\project\backend\Dockerfile", "Docker", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 21
"d:\project\backend\Notification\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\Notification\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 6
"d:\project\backend\Notification\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"d:\project\backend\Notification\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 7, 26
"d:\project\backend\Notification\migrations\0002_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 7, 29
"d:\project\backend\Notification\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\Notification\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 8, 27
"d:\project\backend\Notification\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 6, 16
"d:\project\backend\Notification\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"d:\project\backend\Notification\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
