"filename", "language", "Python", "JavaScript JSX", "pip requirements", "comment", "blank", "total"
"d:\project\backend\backend\settings.py", "Python", 1, 0, 0, 0, 0, 1
"d:\project\backend\customauth\serializer.py", "Python", -4, 0, 0, 0, 0, -4
"d:\project\backend\customuser\migrations\0002_alter_customuser_role.py", "Python", 12, 0, 0, 1, 6, 19
"d:\project\backend\customuser\models.py", "Python", -2, 0, 0, 0, 0, -2
"d:\project\backend\requirements.txt", "pip requirements", 0, 0, 2, 0, 0, 2
"d:\project\backend\student\serializer.py", "Python", 0, 0, 0, 0, 1, 1
"d:\project\backend\student\views.py", "Python", 0, 0, 0, 0, 2, 2
"d:\project\backend\tms\admin.py", "Python", 2, 0, 0, 0, -1, 1
"d:\project\backend\tms\migrations\0002_assignment_assignmentsubmission.py", "Python", 37, 0, 0, 1, 6, 44
"d:\project\backend\tms\migrations\0003_assignmentsubmission_status_and_more.py", "Python", 17, 0, 0, 1, 6, 24
"d:\project\backend\tms\models.py", "Python", 50, 0, 0, 4, 12, 66
"d:\project\backend\tms\serializer.py", "Python", 72, 0, 0, 0, 14, 86
"d:\project\backend\tms\urls.py", "Python", 4, 0, 0, 0, 1, 5
"d:\project\backend\tms\views.py", "Python", 50, 0, 0, -2, 17, 65
"d:\project\frontend\src\App.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 15
"d:\project\frontend\src\api\student.jsx", "JavaScript JSX", 0, 12, 0, 0, 5, 17
"d:\project\frontend\src\api\teacher.jsx", "JavaScript JSX", 0, 44, 0, 2, 16, 62
"d:\project\frontend\src\components\UI\Sidebar\Teacher.jsx", "JavaScript JSX", 0, 6, 0, 0, 1, 7
"d:\project\frontend\src\pages\Export.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 3
"d:\project\frontend\src\pages\TMS\AStudent.jsx", "JavaScript JSX", 0, 7, 0, 0, 2, 9
"d:\project\frontend\src\pages\TMS\ASubmission.jsx", "JavaScript JSX", 0, 470, 0, 34, 43, 547
"d:\project\frontend\src\pages\TMS\Assignments.jsx", "JavaScript JSX", 0, 859, 0, 35, 66, 960
"Total", "-", 239, 1416, 2, 76, 197, 1930
